wAja wAja
laMxana laMxana
meM meM
XamAke XamAkA
nahIM nahIM
howe ho
wo wo
isa yaha
SiKara SiKara
bETaka bETaka
meM meM
wApamAna wApamAna
parivarwana parivarwana
pramuKa pramuKa
muxxA muxxA
banA bana
rahawA raha
Ora Ora
isa yaha
para para
jI jI
- -
8 8
xeSoM xeSa
meM meM
mawaBexa mawaBexa
BI BI
lakRiwa lakRiwa
ho ho
sakawe saka
We WA
. .
yUM yUz
wo wo
samUha samUha
- -
8 8
aBI aBI
BI BI
wApamAna wApamAna
parivarwana parivarwana
para para
eka eka
samaJOwe samaJOwA
kA kA
prayAsa prayAsa
kara kara
rahA raha
hE hE
, COMMA
lekina lekina
XamAkoM XamAkA
ke ke
bAxa bAxa
aba aba
usake vaha
lie lie
AwaMkavAxa AwaMkavAxa
hI hI
pramuKa pramuKa
muxxA muxxA
bana bana
gayA jA
hE hE
. .
uXara uXara
, COMMA
BArawIya BArawIya
praXAnamaMwrI praXAnamaMwrI
manamohana manamohana
siMha siMha
kI kA
britena britena
ke kA
praXAnamaMwrI praXAnamaMwrI
tonI tonI
bleyara bleyara
se se
Bale Bale
hI hI
mulAkAwa mulAkAwa
na na
ho ho
pAI pA
ho ho
lekina lekina
PrAMsa PrAMsa
ke kA
rARtrapawi rARtrapawi
yAka yAka
SirAka SirAka
se se
unakI vaha
mulAkAwa mulAkAwa
kisI koI
mAyane mAyanA
meM meM
kama kama
mahawvapUrNa mahawvapUrNa
nahIM nahIM
rahI raha
. .
POYrma POYrma
sabsidI sabsidI
Kawma Kawma
karane kara
para para
hAlAzki hAlAzki
unheM vaha
amerikA amerikA
Ora Ora
britena britena
se se
cawurAI cawurAI
vAlA vAlA
samarWana samarWana
milA mila
lekina lekina
SirAkZa SirAkZa
se se
huI ho
mulAkAwa mulAkAwa
isalie isaliye
KAsa KAsa
hE hE
ki ki
PrAMsa PrAMsa
dablUtIo dablUtIo
meM meM
isa yaha
muxxe muxxA
para para
jaMga jaMga
CedZe CedZa
hue ho
hE hE
. .
jammU jammU
- -
kaSmIra kaSmIra
ke kA
puMCa puMCa
jile jilA
meM meM
SukravAra SukravAra
ko ko
senA senA
Ora Ora
AwaMkiyoM AwaMkI
ke ke
bIca bIca
huI ho
muTaBedZa muTaBedZa
meM meM
laSkara laSkara
- -
e e
- -
wAibA wAibA
ke kA
wIna wIna
AwaMkI AwaMkI
mAre mAra
gae jA
. .
AwaMkavAxI AwaMkavAxI
GusapETa GusapETa
kI kA
PirAka PirAka
meM meM
We WA
. .
isa yaha
muTaBedZa muTaBedZa
meM meM
eka eka
jesIo jesIo
sahiwa sahiwa
senA senA
ke kA
cAra cAra
javAna javAna
BI BI
SahIxa SahIxa
ho ho
gae jA
. .
uXara uXara
, COMMA
senA senA
ne ne
eka eka
Ese EsA
grupa grupa
kA kA
BaMdA BaMdA
- -
PodZa PodZa
kiyA kara
hE hE
jo jo
jihAxa jihAxa
ke kA
nAma nAma
para para
sWAnIya sWAnIya
yuvakoM yuvaka
ko ko
baragalA baragalA
kara kara
AwaMkI AwaMkI
gutoM guta
meM meM
BarwI BarwI
karawA kara
WA WA
. .
senA senA
ke kA
pravakwA pravakwA
lePtineMta lePtineMta
karnala karnala
vI. vI.
ke. ke.
bawrA bawrA
ne ne
kahA kaha
ki ki
isa yaha
guta guta
kA kA
pramuKa pramuKa
anaMwanAga anaMwanAga
jile jilA
ke kA
kulagAma kulagAma
kA kA
eka eka
majZahabI majahabI
newA newA
WA WA
. .
puMCa puMCa
meM meM
huI ho
muTaBedZa muTaBedZa
ke ke
bAre bAre
meM meM
eka eka
sarakArI sarakArI
aXikArI aXikArI
ne ne
bawAyA bawA
ki ki
13vIM 13vAz
siKa siKa
lAIta lAIta
inaPeMtrI inaPeMtrI
xvArA xvArA
laSkara laSkara
- -
e e
- -
wAibA wAibA
guta guta
ke kA
AwaMkiyoM AwaMkI
ko ko
niyaMwraNa niyaMwraNa
- -
reKA reKA
para para
cunOwI cunOwI
xene xe
para para
muTaBedZa muTaBedZa
rAwa rAwa
11.45 11.45
baje baje
SurU SurU
huI ho
. .
AwaMkI AwaMkI
wAlAcIda wAlAcIda
ilAke ilAkA
meM meM
niyaMwraNa niyaMwraNa
- -
reKA reKA
pAra pAra
kara kara
GusapETa GusapETa
karane kara
kI kA
koSiSa koSiSa
kara kara
rahe raha
We WA
. .
senA senA
xvArA xvArA
cunOwI cunOwI
xene xe
para para
AwaMkiyoM AwaMkI
ne ne
golI golI
calAnI calA
SurU SurU
kara kara
xI xe
. .
senA senA
kI kA
jabAvI jabAvI
kArravAI kArravAI
meM meM
wIna wIna
AwaMkI AwaMkI
mAre mAra
gae jA
. .
muTaBedZa muTaBedZa
meM meM
nAyaka nAyaka
sUbexAra sUbexAra
avawAra avawAra
siMha siMha
sahiwa sahiwa
cAra cAra
javAna javAna
BI BI
SahIxa SahIxa
ho ho
gae jA
. .
muTaBedZa muTaBedZa
vAle vAlA
sWAna sWAna
se se
wIna wIna
eke eke
esOYlta esOYlta
rAiPala rAiPala
, COMMA
17 17
mEgajIna mEgajIna
, COMMA
8 8
greneda greneda
, COMMA
4 4
AIidI AIidI
, COMMA
eka eka
rediyo rediyo
seta seta
, COMMA
xo xo
piswOla piswOla
va va
kuCa kuCa
anya anya
haWiyAra haWiyAra
barAmaxa barAmaxa
kie kara
gae jA
hEM hE
. .
uXara uXara
, COMMA
jihAxa jihAxa
ke kA
nAma nAma
para para
AwaMkI AwaMkI
guta guta
meM meM
SAmila SAmila
karane kara
vAle vAlA
guta guta
ke ke
bAre bAre
meM meM
lePtineMta lePtineMta
karnala karnala
bawrA bawrA
ne ne
kahA kaha
ki ki
yaha yaha
guta guta
ArWika ArWika
rUpa rUpa
se se
kamajora kamajora
yuvakoM yuvaka
ko ko
pEse pEsA
ke kA
lAlaca lAlaca
meM meM
AwaMkI AwaMkI
gutoM guta
meM meM
SAmila SAmila
karawA kara
WA WA
. .
jahAz jahAz
eka eka
wabakA wabakA
PasaloM Pasala
ke ke
lie lie
nyUnawama nyUnawama
samarWana samarWana
mUlya mUlya
nirXAriwa nirXAriwa
karane kara
vAle vAlA
kqRi kqRi
mUlya mUlya
lAgawa lAgawa
Ayoga Ayoga
ko ko
samApwa samApwa
karane kara
kA kA
pakRaXara pakRaXara
hE hE
. .
vahIM vahIM
kqRi kqRi
mAmaloM mAmalA
kI kA
sWAyI sWAyI
samiwi samiwi
kqRi kqRi
mUlya mUlya
lAgawa lAgawa
Ayoga Ayoga
meM meM
kisAnoM kisAna
ke kA
prawiniXiwva prawiniXiwva
kI kA
pakRaXara pakRaXara
hE hE
. .
samiwi samiwi
kA kA
kahanA kaha
hE hE
ki ki
isase yaha
PasaloM Pasala
kA kA
nyUnawama nyUnawama
samarWana samarWana
mUlya mUlya
nirXAraNa nirXAraNa
meM meM
Ayoga Ayoga
ko ko
kisAnoM kisAna
se se
pUrI pUrA
jAnakArI jAnakArI
mila mila
pAegI pA
. .
isake yaha
awirikwa awirikwa
samiwi samiwi
ne ne
kisAnoM kisAna
ko ko
xie xe
jAne jA
vAle vAlA
qNa qNa
para para
6 6
PIsaxI PIsaxI
byAja byAja
xara xara
lAgU lAgU
karane kara
kI kA
siPAriSa siPAriSa
kI kara
hE hE
. .
isake yaha
alAvA alAvA
qNa qNa
sImA sImA
ko ko
50 50
hajAra hajAra
rupae rupayA
se se
baDZAkara baDZA
1.5 1.5
lAKa lAKa
kiyA kara
jAnA jA
cAhie cAhie
Ora Ora
isa yaha
para para
7 7
PIsaxI PIsaxI
ke ke
hisAba hisAba
se se
byAja byAja
xara xara
lAgU lAgU
honI ho
cAhie cAhie
. .
kqRi kqRi
mUlya mUlya
lAgawa lAgawa
Ayoga Ayoga
ko ko
jyAxA jyAxA
svawaMwra svawaMwra
Ora Ora
majabUwa majabUwa
banAne banA
ke ke
lie lie
lokasaBA lokasaBA
kI kA
kqRi kqRi
mAmaloM mAmalA
kI kA
sWAyI sWAyI
samiwi samiwi
prayAsa prayAsa
kara kara
rahI raha
hE hE
. .
samiwi samiwi
kA kA
mAnanA mAna
hE hE
ki ki
kisAnoM kisAna
ko ko
unakI vaha
Pasala Pasala
kA kA
pUrA pUrA
mUlya mUlya
nahIM nahIM
mila mila
pAwA pA
hE hE
Ora Ora
isalie isaliye
Ayoga Ayoga
meM meM
kisAnoM kisAna
kA kA
BI BI
prawiniXiwva prawiniXiwva
honA ho
cAhie cAhie
. .
hAlAMki hAlAMki
aBI aBI
waka waka
samiwi samiwi
meM meM
kisAnoM kisAna
kA kA
prawiniXiwva prawiniXiwva
nahIM nahIM
hE hE
. .
samiwi samiwi
kA kA
kahanA kaha
hE hE
ki ki
isase yaha
Ayoga Ayoga
sIXe sIXe
kisAnoM kisAna
ke kA
saMparka saMparka
meM meM
rahegA raha
Ora Ora
unakI vaha
samasyAoM samasyA
ko ko
behawara behawara
warIke warIkA
se se
nipatAyA nipatA
jA jA
sakegA saka
. .
sWAyI sWAyI
samiwi samiwi
ke kA
aXyakRa aXyakRa
proPesara proPesara
rAma rAma
gopAla gopAla
yAxava yAxava
kA kA
kahanA kaha
hE hE
ki ki
sWAyI sWAyI
samiwi samiwi
yaha yaha
mahasUsa mahasUsa
karawI kara
hE hE
ki ki
rAjya rAjya
sarakAreM sarakAra
PasaloM Pasala
ke ke
lie lie
jo jo
mUlya mUlya
waya waya
karane kara
ke kA
suJAva suJAva
xewI xe
hEM hE
. .
Ayoga Ayoga
una vaha
mUlyoM mUlya
ko ko
lAgU lAgU
nahIM nahIM
karawA kara
hE hE
Ora Ora
unakI vaha
siPAriSoM siPAriSa
se se
kama kama
mUlya mUlya
nirXAriwa nirXAriwa
karawA kara
hE hE
. .
isase yaha
kisAnoM kisAna
ko ko
unakI vaha
Pasala Pasala
kI kA
kama kama
kImawa kImawa
milawI mila
hE hE
. .
unakA vaha
kahanA kaha
hE hE
piCale piCalA
sAla sAla
uwwara uwwara
praxeSa praxeSa
sarakAra sarakAra
ne ne
XAna XAna
ke ke
lie lie
720 720
rupaye rupayA
prawi prawi
kviMtala kviMtala
mUlya mUlya
nirXAriwa nirXAriwa
karane kara
kI kA
siPAriSa siPAriSa
Ayoga Ayoga
se se
kI kara
WI WA
. .
kyoMki kyoMki
XAna XAna
ke ke
lie lie
uwwara uwwara
praxeSa praxeSa
meM meM
lAgawa lAgawa
mUlya mUlya
650 650
rupaye rupayA
WA WA
. .
lekina lekina
Ayoga Ayoga
ne ne
XAna XAna
ke ke
lie lie
560 560
rupaye rupayA
prawi prawi
kviMtala kviMtala
kA kA
mUlya mUlya
nirXAriwa nirXAriwa
kiyA kara
. .
yAni yAni
praxeSa praxeSa
sarakAra sarakAra
kI kA
siPAriSoM siPAriSa
se se
kAPI kAPI
kama kama
mUlya mUlya
kisAnoM kisAna
ko ko
milA mila
. .
rAma rAma
gopAla gopAla
yAxava yAxava
isake yaha
BI BI
pakRaXara pakRaXara
hEM hE
ki ki
Ayoga Ayoga
ko ko
mUlya mUlya
nirXAraNa nirXAraNa
ke kA
xAyare xAyarA
meM meM
kaI kaI
anya anya
PasaloM Pasala
ko ko
BI BI
SAmila SAmila
karanA kara
cAhie cAhie
. .
hAlAMki hAlAMki
aBI aBI
waka waka
mahaja mahaja
25 25
PasaloM Pasala
kA kA
hI hI
mUlya mUlya
Ayoga Ayoga
xvArA xvArA
nirXAriwa nirXAriwa
kiyA kara
jAwA jA
hE hE
. .
unakA vaha
kahanA kaha
hE hE
ki ki
kaI kaI
EsI EsA
PasaleM Pasala
BI BI
hEM hE
jinakA jo
mUlya mUlya
kisAnoM kisAna
ko ko
mila mila
nahIM nahIM
pAwA pA
hE hE
Ora Ora
isake yaha
lie lie
sarakAra sarakAra
ko ko
pahala pahala
karanI kara
hogI ho
. .
yAxava yAxava
kA kA
kahanA kaha
hE hE
ki ki
kqRi kqRi
meM meM
sabase sabase
badZI badZA
samasyA samasyA
niveSa niveSa
qNa qNa
para para
lagane laga
vAle vAlA
byAja byAja
xara xara
kI kA
hE hE
. .
kyoMki kyoMki
varwamAna varwamAna
meM meM
kisAnoM kisAna
ko ko
xie xe
jAne jA
vAle vAlA
qNoM qNa
kI kA
byAja byAja
xareM xara
kAPI kAPI
jyAxA jyAxA
hEM hE
Ora Ora
ina yaha
byAja byAja
xaroM xara
ko ko
nAbArda nAbArda
xvArA xvArA
rAjyoM rAjya
ko ko
xie xe
jAne jA
vAle vAlA
qNa qNa
para para
lAgU lAgU
hone ho
vAlI vAlA
byAja byAja
xara xara
ke ke
samAna samAna
hI hI
honA ho
cAhie cAhie
. .
unakA vaha
kahanA kaha
hE hE
ki ki
samiwi samiwi
isakI yaha
pakRaXara pakRaXara
hE hE
ki ki
kisAnoM kisAna
ko ko
6 6
PIsaxI PIsaxI
byAja byAja
xara xara
para para
qNa qNa
muhEyA muhEyA
karAyA karA
jAnA jA
cAhie cAhie
. .
BArawIya BArawIya
svAsWya svAsWya
maMwrI maMwrI
e. e.
rAmaxAsa rAmaxAsa
ne ne
BArawa BArawa
meM meM
anivAsI anivAsI
BArawIya BArawIya
dOYktaroM dOYktara
xvArA xvArA
calAI calA
jA jA
rahIM raha
pariyojanAoM pariyojanA
ko ko
prowsAhiwa prowsAhiwa
karane kara
kA kA
vAxA vAxA
kiyA kara
hE hE
. .
unhoMne vaha
amerikana amerikana
esosieSana esosieSana
OYPa OYPa
PijISiyaMsa PijISiyana
OYPa OYPa
iMdiyana iMdiyana
OYrijina OYrijina
( _
eepIAI eepIAI
) _
ke _
pUrva pUrva
aXyakRa aXyakRa
navIna navIna
SAha SAha
ko ko
yaha yaha
ASvAsana ASvAsana
xiyA xe
. .
navIna navIna
SAha SAha
mErIlEMda mErIlEMda
ke kA
lEnahama lEnahama
ilAke ilAkA
sWiwa sWiwa
dOYktarsa dOYktara
hOYspitala hOYspitala
ke kA
pramuKa pramuKa
hEM hE
. .
SAha SAha
ne ne
kahA kaha
ki ki
unhoMne vaha
rAmaxAsa rAmaxAsa
se se
vASiMgatana vASiMgatana
meM meM
laMbI laMbA
bAwacIwa bAwacIwa
kI kara
. .
unhoMne vaha
enaAraAI enaAraAI
dOYktaroM dOYktara
xvArA xvArA
calAI calA
jA jA
rahI raha
pariyojanAoM pariyojanA
ko ko
saPala saPala
banAne banA
meM meM
BarapUra BarapUra
yogaxAna yogaxAna
xene xe
kA kA
vAxA vAxA
kiyA kara
hE hE
. .
enaAraAI enaAraAI
dOYktaroM dOYktara
se se
judZe judZa
xUsare xUsarA
masaloM masalA
para para
BI BI
ina yaha
xonoM xo
ke ke
bIca bIca
bAwacIwa bAwacIwa
huI ho
. .
SAha SAha
ne ne
bawAyA bawA
ki ki
mEMne mEM
cikiwsA cikiwsA
kRewra kRewra
ke kA
kaI kaI
mahawvapUrNa mahawvapUrNa
masaloM masalA
masalana masalana
, COMMA
BArawIya BArawIya
aspawAloM aspawAla
ke kA
paMjIkaraNa paMjIkaraNa
, COMMA
ApAwa ApAwa
cikiwsA cikiwsA
sevA sevA
, COMMA
BArawa BArawa
ke kA
viBinna viBinna
mahAnagaroM mahAnagara
meM meM
trOYmA trOYmA
seMtaroM seMtara
kI kA
sWApanA sWApanA
, COMMA
NULL _
BArawa BArawa
meM meM
saMkramaNa saMkramaNa
roga roga
cikiwsA cikiwsA
keMxra keMxra
kI kA
sWApanA sWApanA
Axi Axi
ko ko
lekara le
unase vaha
bAwacIwa bAwacIwa
kI kara
. .
maMwrI maMwrI
ne ne
merI mEM
bAwoM bAwa
ko ko
XyAna XyAna
se se
sunA suna
. .
NULL _
ulleKanIya ulleKanIya
hE hE
ki ki
BArawa BArawa
meM meM
anivAsI anivAsI
BArawIya BArawIya
dOYktaroM dOYktara
ke kA
sahayoga sahayoga
se se
kaI kaI
pariyojanAeM pariyojanA
cala cala
rahI raha
hEM hE
. .
SAha SAha
ne ne
bawAyA bawA
ki ki
6 6
mahIne mahInA
pahale pahale
BI BI
ina yaha
masaloM masalA
para para
unhoMne vaha
xillI xillI
meM meM
maMwrI maMwrI
se se
bAwacIwa bAwacIwa
kI kara
WI WA
. .
SAha SAha
ne ne
kahA kaha
ki ki
rAmaxAsa rAmaxAsa
cAhawe cAha
hEM hE
ki ki
BArawa BArawa
meM meM
medikala medikala
SikRA SikRA
Ora Ora
svAsWya svAsWya
sevAoM sevA
kA kA
BarapUra BarapUra
viswAra viswAra
ho ho
. .
unhoMne vaha
bawAyA bawA
ki ki
maMwrI maMwrI
ne ne
kaI kaI
vAxoM vAxA
ko ko
pUrA pUrA
karane kara
kA kA
ASvAsana ASvAsana
xiyA xe
hE hE
. .
rAmaxAsa rAmaxAsa
ne ne
yaha yaha
BI BI
saMkewa saMkewa
xiyA xe
ki ki
jo jo
rAjya rAjya
Iemaesa Iemaesa
seMtara seMtara
kI kA
sWApanA sWApanA
karegA kara
, COMMA
use vaha
keMxrIya keMxrIya
svAsWya svAsWya
maMwrAlaya maMwrAlaya
kI kA
ora ora
se se
viwwIya viwwIya
maxaxa maxaxa
xI xe
jAegI jA
. .
unhoMne vaha
BArawa BArawa
meM meM
kaI kaI
Ora Ora
saMkrAmaka saMkrAmaka
roga roga
cikiwsA cikiwsA
keMxroM keMxra
kI kA
sWApanA sWApanA
kA kA
BI BI
vAxA vAxA
kiyA kara
. .
SAha SAha
ke ke
muwAbika muwAbika
rAmaxAsa rAmaxAsa
ne ne
xo xo
jAne jAna
- -
mAne mAna
Ayurvexa Ayurvexa
viSeRajFoM viSeRajFa
ko ko
amerikA amerikA
meM meM
Ayurvexa Ayurvexa
cikiwsA cikiwsA
paxGawi paxGawi
kI kA
paDZAI paDZAI
ke ke
lie lie
amerikA amerikA
Bejane Beja
kA kA
vAxA vAxA
kiyA kara
hE hE
. .
unhoMne vaha
Ayurvexa Ayurvexa
ke kA
kRewra kRewra
meM meM
saMyukwa saMyukwa
BArawa BArawa
- -
amerikA amerikA
SoXa SoXa
pariyojanA pariyojanA
ko ko
BI BI
saPala saPala
banAne banA
kA kA
vAxA vAxA
kiyA kara
. .
Aja Aja
xeSa xeSa
ke kA
karjaxAra karjaxAra
hara hara
100 100
kisAnoM kisAna
meM meM
se se
10 10
anusUciwa anusUciwa
janajAwi janajAwi
, COMMA
18 18
anusUciwa anusUciwa
jAwi jAwi
va va
44 44
anya anya
piCadZe piCadZA
varga varga
se se
hEM hE
. .
isa yaha
bAwa bAwa
kI kA
jAnakArI jAnakArI
rARtrIya rARtrIya
sEMpala sEMpala
sarve sarve
se se
milI mila
hE hE
. .
xeSa xeSa
meM meM
kisAnoM kisAna
kI kA
sWiwi sWiwi
KAsakara KAsakara
karjaxAra karjaxAra
kisAnoM kisAna
ke ke
bAre bAre
meM meM
kie kara
gae jA
sarvekRaNa sarvekRaNa
ke ke
muwAbika muwAbika
karjaxAra karjaxAra
kisAnoM kisAna
kI kA
sabase sabase
jyAxA jyAxA
saMKyA saMKyA
AMXra AMXra
praxeSa praxeSa
va va
wamilanAdu wamilanAdu
meM meM
hE hE
. .
AMXra AMXra
praxeSa praxeSa
ke kA
karjaxAra karjaxAra
kisAnoM kisAna
meM meM
11 11
PIsaxI PIsaxI
anusUciwa anusUciwa
janajAwi janajAwi
, COMMA
17 17
PIsaxI PIsaxI
anusUciwa anusUciwa
jAwi jAwi
va va
47 47
PIsaxI PIsaxI
anya anya
piCadZe piCadZA
varga varga
se se
hEM hE
. .
jabaki jabaki
wamilanAdu wamilanAdu
meM meM
yaha yaha
anupAwa anupAwa
isa yaha
prakAra prakAra
se se
hE hE
4 4
PIsaxI PIsaxI
anusUciwa anusUciwa
janajAwi janajAwi
, COMMA
22 22
PIsaxI PIsaxI
anusUciwa anusUciwa
jAwi jAwi
va va
73 73
PIsaxI PIsaxI
anya anya
piCadZe piCadZA
varga varga
se se
hEM hE
. .
yahAz yahAz
sAmAnya sAmAnya
SreNI SreNI
kA kA
sirPa sirPa
eka eka
PIsaxI PIsaxI
kisAna kisAna
hI hI
karjaxAra karjaxAra
hE hE
. .
xeSa xeSa
meM meM
kisAnoM kisAna
kI kA
sWiwi sWiwi
ke ke
bAre bAre
meM meM
jAnakArI jAnakArI
ko ko
lekara le
sabase sabase
pahale pahale
2003 2003
meM meM
sarvekRaNa sarvekRaNa
karAyA karA
gayA jA
WA WA
. .
isakA yaha
uxxeSya uxxeSya
rahana rahana
- -
sahana sahana
ke kA
AXAra AXAra
para para
kisAnoM kisAna
kI kA
sWiwi sWiwi
kA kA
Akalana Akalana
karanA kara
WA WA
. .
isameM yaha
upaBokwA upaBokwA
vyaya vyaya
, COMMA
kqRi kqRi
va va
gEra gEra
kqRi kqRi
vyavasAya vyavasAya
, COMMA
uwpAxaka uwpAxaka
parisaMpawwiyAz parisaMpawwi
, COMMA
Aya Aya
Ora Ora
karja karja
ke kA
AXAra AXAra
para para
kisAnoM kisAna
kI kA
sWiwi sWiwi
kA kA
sarvekRaNa sarvekRaNa
kiyA kara
gayA jA
WA WA
. .
bihAra bihAra
meM meM
rARtrapawi rARtrapawi
SAsana SAsana
lAgU lAgU
karane kara
ke kA
vivAxAspaxa vivAxAspaxa
PEsale PEsalA
ke ke
bAre bAre
meM meM
suprIma suprIma
korta korta
ne ne
kahA kaha
hE hE
ki ki
rAjyapAla rAjyapAla
bUtA bUtA
siMha siMha
ke ke
KilAPa KilAPa
lagAe lagA
gae jA
AropoM Aropa
kI kA
jAzca jAzca
kI kara
jAegI jA
. .
axAlawa axAlawa
ne ne
kahA kaha
hE hE
ki ki
isa yaha
bAwa bAwa
kI kA
jAzca jAzca
kI kara
jAegI jA
ki ki
kyA kyA
rAjyapAla rAjyapAla
ne ne
xurBAvanAoM xurBAvanA
se se
graswa graswa
hokara ho
keMxra keMxra
ko ko
riporta riporta
BejI Beja
WI WA
, COMMA
jisakI jo
vajaha vajaha
se se
rARtrapawi rARtrapawi
SAsana SAsana
lagAyA lagA
gayA jA
. .
keMxra keMxra
kI kA
salAha salAha
ko ko
svIkAra svIkAra
karawe kara
hue ho
jastisa jastisa
vAI. vAI.
ke. ke.
sabbaravAla sabbaravAla
, COMMA
jastisa jastisa
ke. ke.
jI. jI.
bAlakqRNa bAlakqRNa
, COMMA
jastisa jastisa
bI. bI.
ena. ena.
agravAla agravAla
, COMMA
jastisa jastisa
aSoka aSoka
BAna BAna
Ora Ora
jastisa jastisa
ajiwa ajiwa
pasAyawa pasAyawa
kI kA
KaMdapITa KaMdapITa
ne ne
saMviXAna saMviXAna
ke kA
anucCexa anucCexa
361 361
ke ke
wahawa wahawa
axAlawI axAlawI
kAryavAhI kAryavAhI
ke kA
mAmale mAmalA
meM meM
rAjyapAla rAjyapAla
ko ko
prApwa prApwa
viSeRAXikAra viSeRAXikAra
kA kA
havAlA havAlA
xewe xe
hue ho
kahA kaha
ki ki
axAlawa axAlawa
rAjyapAla rAjyapAla
ko ko
notisa notisa
jArI jArI
nahIM nahIM
karegI kara
. .
hAlAMki hAlAMki
axAlawa axAlawa
ne ne
yaha yaha
sAPa sAPa
kara kara
xiyA xe
ki ki
rAjyapAla rAjyapAla
ne ne
agara agara
xurBAvanAoM xurBAvanA
se se
graswa graswa
hokara ho
isa yaha
bAbawa bAbawa
PEsalA PEsalA
liyA le
hE hE
wo wo
yaha yaha
unake vaha
viSeRAXikAra viSeRAXikAra
ke kA
xAyare xAyarA
se se
bAhara bAhara
hE hE
Ora Ora
axAlawa axAlawa
ko ko
isa yaha
mAmale mAmalA
kI kA
jAzca jAzca
kA kA
aXikAra aXikAra
hE hE
. .
KaMdapITa KaMdapITa
ne ne
viXAnasaBA viXAnasaBA
BaMga BaMga
karane kara
ke kA
rAjyapAla rAjyapAla
ke kA
PEsale PEsalA
ke ke
KilAPa KilAPa
xAyara xAyara
yAcikA yAcikA
kI kA
agalI agalA
sunavAI sunavAI
kI kA
wArIKa wArIKa
27 27
siwaMbara siwaMbara
se se
GatAkara GatA
20 20
siwaMbara siwaMbara
kara kara
xI xe
hE hE
. .
axAlawa axAlawa
ne ne
cunAva cunAva
Ayoga Ayoga
xvArA xvArA
bihAra bihAra
viXAnasaBA viXAnasaBA
cunAva cunAva
kI kA
GoRaNA GoRaNA
ke ke
maxxenajZara maxxenajZara
sunavAI sunavAI
kI kA
wArIKa wArIKa
GatA GatA
xI xe
hE hE
. .
KaMdapITa KaMdapITa
ne ne
cunAva cunAva
Ayoga Ayoga
ke kA
vakIla vakIla
esa. esa.
muralIXarana muralIXarana
se se
pUCA pUCa
ki ki
agara agara
axAlawa axAlawa
rARtrapawi rARtrapawi
SAsana SAsana
ko ko
avEXa avEXa
karAra karAra
xewI xe
hE hE
wo wo
cunAva cunAva
prakriyA prakriyA
kA kA
kyA kyA
hogA ho
, COMMA
NULL _
isa yaha
para para
muralIXarana muralIXarana
ne ne
kahA kaha
ki ki
23 23
siwaMbara siwaMbara
ko ko
aXisUcanA aXisUcanA
jArI jArI
hone ho
ke ke
bAxa bAxa
cunAva cunAva
prakriyA prakriyA
SurU SurU
ho ho
jAegI jA
Ora Ora
isake yaha
bAxa bAxa
koI koI
BI BI
axAlawa axAlawa
isa yaha
mAmale mAmalA
meM meM
haswakRepa haswakRepa
nahIM nahIM
kara kara
sakawI saka
. .
lekina lekina
javAba javAba
se se
saMwuRta saMwuRta
nahIM nahIM
hone ho
para para
axAlawa axAlawa
ne ne
atarnI atarnI
janarala janarala
milana milana
banarjI banarjI
, COMMA
ediSanala ediSanala
sOYlIsitara sOYlIsitara
janarala janarala
gopAla gopAla
subrahmaNyam subrahmaNyam
Ora Ora
pUrva pUrva
atarnI atarnI
janarala janarala
solI solI
je. je.
sorAbajI sorAbajI
se se
rAya rAya
lI le
. .
ina yaha
wInoM wIna
ne ne
eka eka
mawa mawa
se se
kahA kaha
ki ki
rARtrapawi rARtrapawi
SAsana SAsana
ko ko
avEXa avEXa
karAra karAra
xene xe
para para
cunAva cunAva
Ayoga Ayoga
ko ko
cunAva cunAva
prakriyA prakriyA
raxxa raxxa
karanI kara
padZegI padZa
. .
saSaswra saSaswra
baloM bala
ke kA
AXunikIkaraNa AXunikIkaraNa
meM meM
ho ho
rahI raha
xerI xerI
ko ko
jadZa jadZa
se se
mitAne mitA
ke ke
lie lie
sarakAra sarakAra
ne ne
rakRA rakRA
bajata bajata
meM meM
27 27
PIsaxI PIsaxI
kI kA
vqxXi vqxXi
karawe kara
hue ho
77,000 77000
karodZa karoda
rupaye rupayA
AvaMtiwa AvaMtiwa
kie kara
hEM hE
. .
jabaki jabaki
saMSoXiwa saMSoXiwa
anumAna anumAna
63,000 63000
karodZa karoda
rupaye rupayA
WA WA
. .
vahIM vahIM
paMjI paMjI
prAvaXAna prAvaXAna
ke kA
mAmale mAmalA
meM meM
Wala Wala
senA senA
kI kA
anaxeKI anaxeKI
kI kara
gaI jA
hE hE
wo wo
vAyu vAyu
Ora Ora
nO nO
senA senA
ke kA
AvaMtana AvaMtana
meM meM
mAmUlI mAmUlI
baDZowarI baDZowarI
huI ho
hE hE
. .
praXAnamaMwrI praXAnamaMwrI
manamohana manamohana
siMha siMha
ne ne
kahA kaha
ki ki
piCale piCalA
wIna wIna
- -
cAra cAra
sAloM sAla
meM meM
rakRA rakRA
bajata bajata
kI kA
anaxeKI anaxeKI
kI kara
gaI jA
hE hE
. .
sarakAra sarakAra
ne ne
piCale piCalA
sAla sAla
ke kA
16,906 16906
karodZa karoda
rupaye rupayA
ke kA
pUzjI pUzjI
prAvaXAna prAvaXAna
ko ko
xogunA xogunA
karawe kara
hue ho
33,482 33482
karodZa karoda
rupaye rupayA
kiyA kara
hE hE
. .
keMxrIya keMxrIya
bajata bajata
2004 2004
- -
05 05
meM meM
rakRA rakRA
prAvaXAna prAvaXAna
meM meM
vqxXi vqxXi
karawe kara
hue ho
pI. pI.
